,Percentile,Mean_Accuracy,Std_Accuracy
0,1,0.5655098039215686,0.03328502266131139
1,2,0.5685098039215687,0.023951957553927154
2,3,0.5783529411764705,0.04204199581091156
3,4,0.5861960784313726,0.04993068628904358
4,5,0.5753333333333333,0.06151845089139431
5,6,0.583294117647059,0.05946666718388753
6,7,0.5803333333333334,0.052963397660402665
7,8,0.5824705882352943,0.06042310131585364
8,9,0.5793921568627451,0.04113213766561025
9,10,0.5682549019607844,0.06005363807769502
10,11,0.5683725490196079,0.03860007490137017
11,12,0.5534117647058824,0.04384895959094999
12,13,0.5812941176470587,0.04510641013530248
13,14,0.5773921568627451,0.03624058296857741
14,15,0.5673921568627451,0.044510931142330054
15,16,0.5781372549019609,0.06605185070783427
16,17,0.5852745098039216,0.05602118633119646
17,18,0.5901568627450982,0.05617774012184898
18,19,0.5812156862745098,0.057409728882794775
19,20,0.5704117647058824,0.04098024673958624
20,21,0.595078431372549,0.06443875042789825
21,22,0.5802941176470587,0.05322929948554317
22,23,0.5851960784313726,0.05552837666588156
23,24,0.5812156862745097,0.05251680311829228
24,25,0.5940980392156863,0.05798775209077627
25,26,0.5951176470588236,0.05215770676008825
26,27,0.6001372549019608,0.04189715259557707
27,28,0.6170196078431373,0.05330108598342709
28,29,0.6170392156862745,0.05571867670948454
29,30,0.612156862745098,0.05063085300153658
30,31,0.6149019607843138,0.0695289804571739
31,32,0.6189803921568628,0.052808606710595375
32,33,0.6239411764705882,0.05204628186137796
33,34,0.6179803921568628,0.05252443454744684
34,35,0.616,0.0658171479381069
35,36,0.6169411764705883,0.07339837736154635
36,37,0.6369019607843137,0.05937563128218202
37,38,0.6290196078431374,0.04966872184813008
38,39,0.6300588235294118,0.055618092061415554
39,40,0.6290196078431372,0.04762914211674818
40,41,0.6420392156862745,0.04385255432205759
41,42,0.6380392156862744,0.04716075561772147
42,43,0.6260588235294118,0.04581069064271603
43,44,0.6389019607843138,0.05452596741594905
44,45,0.6468627450980391,0.04659386313139439
45,46,0.6418431372549019,0.05543197943861371
46,47,0.629921568627451,0.05244819123975023
47,48,0.6279607843137254,0.05467250369715278
48,49,0.6309411764705882,0.05613851162530769
49,50,0.6299411764705882,0.05085376808620906
50,51,0.6339803921568627,0.04984119725941794
51,52,0.6439411764705882,0.04763846045228314
52,53,0.6439215686274511,0.05323440941019094
53,54,0.6419215686274511,0.048032716647219836
54,55,0.6349999999999999,0.05333796476430275
55,56,0.6537647058823529,0.05050675913365769
56,57,0.6499019607843137,0.043064934921135445
57,58,0.654843137254902,0.05027070509600669
58,59,0.648843137254902,0.053500203911119204
59,60,0.6559019607843137,0.03948402798568842
60,61,0.6539803921568628,0.033905589572062335
61,62,0.6607450980392157,0.04724341248330872
62,63,0.6647058823529413,0.047453492074183555
63,64,0.661686274509804,0.052315636264601506
64,65,0.670627450980392,0.057892820138651956
65,66,0.6517058823529412,0.06247829611619117
66,67,0.6467450980392158,0.056675771030614545
67,68,0.6457843137254902,0.04699196639645399
68,69,0.6507254901960784,0.05707546755428107
69,70,0.6666666666666667,0.045962724980777546
70,71,0.6556862745098039,0.0538047218828033
71,72,0.6586666666666667,0.04521679164677812
72,73,0.6546470588235295,0.055256491857057825
73,74,0.6377647058823529,0.05532485587009955
74,75,0.6527450980392157,0.05050479514807348
75,76,0.655686274509804,0.05106245280917926
76,77,0.6507647058823529,0.049303448818104764
77,78,0.6576666666666666,0.05246374775892355
78,79,0.6626862745098039,0.05159993458087402
79,80,0.6616274509803921,0.05937234504070432
80,81,0.6528235294117647,0.05251690561005877
81,82,0.6558039215686274,0.0429409257759716
82,83,0.6587843137254902,0.04734933205910803
83,84,0.6587843137254902,0.05312211635885449
84,85,0.6678039215686276,0.04673045566171385
85,86,0.6588039215686275,0.041669084128255804
86,87,0.6707450980392157,0.0472336458579905
87,88,0.6608627450980392,0.03628523423873811
88,89,0.6628823529411766,0.03973286906674722
89,90,0.6548627450980393,0.035151542088335264
90,91,0.6628627450980392,0.04184161196845093
91,92,0.6638039215686274,0.0474031682633077
92,93,0.6657843137254902,0.04528420653808488
93,94,0.6598823529411766,0.04484174402184215
94,95,0.6599019607843136,0.05010325746968389
95,96,0.6638823529411765,0.047832592859248194
96,97,0.6648431372549021,0.05139784214949097
97,98,0.6797647058823529,0.04909811752170664
98,99,0.6747647058823529,0.05683454676073246
99,100,0.6639019607843137,0.048457518543790094
